Chinese,English,Vietnamese,Tactics in Chinese,Tactics in English,Chiến Pháp Kế Thừa,Chiến Pháp Mang Theo,Phe
华佗,Hua Tuo,hoa đà,刮骨疗毒,Antidote,Cắt Xương Trị Độc,Thanh Nang,Quần
陆逊,Lu Xun,Lục Tốn,熯天炽地,Apocalypse,Lửa Cháy Ngùn Ngụt,Hoả Thiêu Liên Doanh,Ngô
乐进,Yue Jin,Nhạc Tiến,锋矢阵,Arrow Formation,Phong Thi Trận,Lâm Trận Tiên Đăng,Nguỵ
黄月英,Huang Yueying,Hoàng Nguyệt Anh,锋矢阵,Arrow Formation,Phong Thi Trận,Công Thần,Thục
华雄,Hua Xiong,Hoa Hùng,诱敌深入,Bait,Dụ Địch Thâm Nhập,Khiêu Chiến Quần Hùng,Quần
司马徽,Sima Hui,Tư Mã Huy,诱敌深入,Bait,Dụ Địch Thâm Nhập,Thuỷ Kính Tiên Sinh,Quần
甄姬,Zhenji,Chân Cơ,魅惑,Beguile,Mê Hoặc,Hoa Dung Nguyệt Mạo,Nguỵ
大乔,Da Qiao,Đại Kiều,魅惑,Beguile,Mê Hoặc,Quốc Sắc,Ngô
孙策,Sun Ce,Tôn Sách,破阵摧坚,Breach,Phá Trận Thôi Kiên,Giang Đông Tiểu Bá Vương,Ngô
文丑,Wen Chou,Văn Xú,破阵摧坚,Breach,Phá Trận Thôi Kiên,Đăng Phong Hãm Trận,Quần
甘宁,Gan Ning,Cam Ninh,百骑劫营,Cavalry Raid,Bách Kỵ Kiếp Doanh,Cẩm Phàm Bách Linh,Ngô
高顺,Gao Shun,Cao Thuận,陷阵营,Camp Raid,Hãm Trận Doanh,Hãm Trận Doanh,Quần
董卓,Dong Zhuo,Đổng Trác,暴戾无仁,Cruel Tyranny,Bạo Lệ Vô Nhân,Tửu Trì Nhục Lâm,Quần
曹操,Cao Cao,Tào Tháo,梦中弑臣,Death in Slumber,Mộng Trung Thí Thần,Loạn Thế Gian Hùng,Nguỵ
诸葛亮,Zhuge Liang,Gia Cát Lượng,舌战群儒,Debate,Nhà Nho Đấu Khẩu,Thần Cơ Diệu Toán,Thục
陈群,Chen Qun,Trần Quần,挫锐,Defang,Toả Nhuệ,Thanh Lưu Nhã Vọng,Nguỵ
孙坚,Sun Jian,Tôn Kiên,挫锐,Defang,Toả Nhuệ,Giang Đông Mãnh Hổ,Ngô
夏侯惇,Xiahou Dun,Hạ Hầu Đôn,绝地反击,Desperate Reversal,Tuyệt Địa Phản Kích,Kiên Cường Bất Khuất,Nguỵ
吕玲绮,Lu Lingqi,Lữ Linh Ỷ,绝地反击,Desperate Reversal,Tuyệt Địa Phản Kích,Sư Tử Phấn Tấn,Quần
张角,Zhang Jiao,Trương Giác,黄天泰平,Disarray Affliction,Hoàng Thiên Thái Bình,Ngũ Lôi Oanh Đỉnh,Quần
曹仁,Cao Ren,Tào Nhân,八门金锁阵,Eight Gold Locks Formation,Bát Môn Kim Toả Trận,Vững Như Thành Đồng,Nguỵ
张昭,Zhang Zhao,Trương Chiêu,兵锋,Elite Troops,Binh Phong,Công Huân Khắc Cử,Ngô
孟获,Meng Huo,Mạnh Hoạch,兵锋,Elite Troops,Binh Phong,Nam Man Cự Khôi,Quần
貂蝉,Diao Chan,Điêu Thuyền,倾国倾城,Eternal Beauty,Nghiêng Nước Nghiêng Thành,Bế Nguyệt,Nguỵ
周瑜,Zhou Yu,Chu Du,风助火势,Fan the Flames,Phong Trợ Hoả Thế,Thần Hoả Kế,Ngô
黄盖,Huang Gai,Hoàng Cái,风助火势,Fan the Flames,Phong Trợ Hoả Thế,Khổ Nhục Kế,Ngô
田丰,Tian Feng,Điền Phong,兵无常势,Fickle War,Binh Vô Thường Thế,Tận Trung Tận Trí,Quần
祝融夫人,Zhu Rong,Phu Nhân Chúc Dung,兵无常势,Fickle War,Binh Vô Thường Thế,Hoả Thần Anh Phong,Quần
曹植,Cao Zhi,Tào Thực,守而必固,Focus Defence,Thủ Nhĩ Tất Cố,Thất Bộ Thành Thi,Nguỵ
程昱,Cheng Yu,Trình Dục,守而必固,Focus Defence,Thủ Nhĩ Tất Cố,Thập Diện Mai Phục,Nguỵ
张飞,Zhang Fei,Trương Phi,嗔目横矛,Furious Glare,Trấn Mục Hoành Mâu,Yên Nhân Gào Thét,Thục
